序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1,600353,旭光电子,52.9,8.4016,2,2,11534761400.0,8376549000.0,3158212400.0,24904117800,12.68148675397,12.1236,438.44,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2026-06-24
2,688143,长盈通,191.24,0.7056,2,2,19924869200.0,18181023300.0,1743845900.0,43932944300,3.969335376414,7.6765,234.03,有价格涨跌幅限制的连续30个交易日内收盘价格涨幅偏离值累计达到200%的证券,2026-06-10
3,688166,博瑞医药,35.01,-2.6418,2,2,9845488400.0,8490076700.0,1355411700.0,17292447300,7.838171639245,2.504,152.57,有价格涨跌幅限制的连续30个交易日内收盘价格跌幅偏离值累计达到-70%的证券,2026-06-30
4,300620,光库科技,343.05,19.9979,4,2,1646561532.29,354395549.13,1292165983.16,8156536264,15.842092051539,10.246,847.69,日涨幅达到15%的前5只证券,2026-06-15
5,300620,光库科技,392.49,14.4119,4,4,2520832079.65,1237396103.54,1283435976.11,18284132360,7.019397753419,10.9017,969.86,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-06-16
6,688123,聚辰股份,187.8,13.2144,2,1,1557470193.6,275304348.53,1282165845.07,11856708000,10.813843480585,19.7475,298.42,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2026-06-25
7,000636,风华高科,55.05,3.8092,3,2,2070427189.56,828943075.74,1241484113.82,14108174782,8.79975002439,22.3276,636.94,日振幅值达到15%的前5只证券,2026-06-01
8,688549,中巨芯,30.05,19.9601,2,2,9292727100.0,8079125800.0,1213601300.0,20219307400,6.002190262956,30.1235,177.09,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2026-06-11
9,300285,国瓷材料,78.5,16.417,4,3,2894367650.84,1841764404.63,1052603246.21,31325224927,3.360241622089,20.5809,670.13,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-06-17
10,688146,中船特气,252.18,9.1169,2,2,15005930500.0,13956839000.0,1049091500.0,40159208900,2.612331091014,17.1441,365.59,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2026-06-08
11,002384,东山精密,191.75,-9.9977,3,2,2087606061.52,1053522767.67,1034083293.85,26724508108,3.869419372177,9.8072,2658.27,日跌幅偏离值达到7%的前5只证券,2026-06-01
12,605376,博迁新材,279.5,5.8712,4,2,1791220608.48,811851214.41,979369394.07,12072250182,8.112567079916,6.9069,731.17,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-06-29
13,600549,厦门钨业,63.73,6.199,2,0,967657870.1,0.0,967657870.1,19854085966,4.873847487903,8.1601,990.32,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-06-04
14,688662,富信科技,134.76,15.3076,2,2,4521331000.0,3558545600.0,962785400.0,11252785700,8.555973833217,19.2788,154.58,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2026-06-16
15,002384,东山精密,237.8,6.1655,4,3,4555972430.56,3617539552.42,938432878.14,68376640415,1.372446602296,6.0233,3296.67,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-06-04
16,000100,TCL科技,5.34,10.1031,4,4,1288576923.74,392473089.87,896103833.87,11902149517,7.528924355975,11.8047,1021.65,日涨幅偏离值达到7%的前5只证券,2026-06-25
17,600176,中国巨石,54.6,9.9919,2,1,1588064142.22,725003351.6,863060790.62,25818421502,3.342810057358,3.2714,2185.71,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-06-17
18,002407,多氟多,50.23,10.0088,3,0,824761563.01,68574218.84,756187344.17,9392668642,8.050825308461,17.4616,541.86,日涨幅偏离值达到7%的前5只证券,2026-06-30
19,603061,金海通,502.22,10.0009,2,0,716281763.01,0.0,716281763.01,4953687274,14.459567659216,4.512,436.93,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-06-30
20,688020,方邦股份,178.0,11.25,1,0,694917293.4,0.0,694917293.4,3490862900,19.90674836872,10.4043,146.66,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2026-06-11
21,600549,厦门钨业,80.84,3.0991,2,1,1273288628.36,590954138.59,682334489.77,26063188785,2.618000795677,10.7187,1256.2,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-06-17
22,605111,新洁能,99.14,9.9967,2,0,665955744.92,0.0,665955744.92,9762343418,6.821679144088,8.132,411.76,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-06-30
23,300548,长芯博创,268.84,20.0018,3,2,837977692.86,208127403.4,629850289.46,6708117640,9.389374534881,9.653,732.22,日涨幅达到15%的前5只证券,2026-06-15
24,688766,普冉股份,580.2,20.0,1,0,627923017.1,0.0,627923017.1,14108291000,4.450737634346,7.2399,862.78,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2026-06-17
25,002938,鹏鼎控股,119.01,10.0009,3,3,989427859.96,376273340.6,613154519.36,7448793106,8.231595516676,2.7852,2748.4,日涨幅偏离值达到7%的前5只证券,2026-06-17
26,688260,昀冢科技,123.61,19.9981,2,1,577371513.14,26491106.67,550880406.47,2491225700,22.112826086773,6.0293,148.33,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2026-06-17
